,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
GLCURt2rpp,2.80622320940251,2.12231926426177,4.04354376978846,0.717212458288068,0.3726934254432029,0.659593278881621,2.64877312126026,1.72962123164717,1.29255577935506,2.52585116905208,2.3029799584945296,2.7489323827844,0.32668835084311604,0.571634053406586,0.27149778182567,0.25413085198626,0.5146498951932511,0.615052280756765,2.2408065905067898,1.06639718720505,2.39243652057479,0.0,0.261202844512805,0.221688994442254
GLDBRAN2,289.04099056845797,302.613453714566,309.331098388817,830.4124912878682,764.114695514926,818.366803869554,879.1518787019279,822.5429969752049,830.359375254014,240.196418314143,245.03706758381801,285.545351261729,1170.85104942173,1165.70474340938,1405.8155142933201,1287.68102701438,1325.53227005974,1202.27344580929,223.69652077802,214.985672940537,228.477687714892,2979.679897759569,2497.36039638693,2905.78849465184
GLGC,777.0120264256731,767.986839971138,807.192425044021,621.345059696896,617.1803125339441,649.416696864591,739.730093501047,780.4915807807829,759.376520371099,616.427963875804,627.055383098891,617.0665966255281,692.121940096226,645.9464803494429,806.484160913152,720.969227085019,677.073402116241,665.025278568252,560.5217628539119,569.8826568423771,663.730246136606,946.5874543622708,854.481572016224,914.910480063182
GLMS_syn,70.8831195856486,91.8451957465007,91.82213977227948,439.053559882012,323.870586710143,435.896929729483,111.007673536453,95.8858770294397,116.54544610518101,38.6695786119163,41.269400856222,66.04310049639521,481.277278462079,456.878517185214,485.030787231559,136.12942638063998,133.60311279216802,138.771170845745,44.2399244011483,38.1770193019407,26.316801726322694,256.066241213713,258.764951297353,236.20962357822202
GLNabc,55.81266160922769,55.61940140823942,54.08239792092062,17.21309899891367,18.63467127216015,17.14942525092217,32.0260750116013,28.971155630090056,28.759366090650083,69.16021058118778,63.00953166441042,71.81585850024237,12.740845682881519,15.005393901922933,16.56136469136586,30.58041252234658,31.393643606788366,31.060140178216635,63.31879194317743,63.55727235742082,63.912232763926504,23.76882813179916,25.68494637709254,20.72792098035076
GLNabcpp,237.90536764156838,258.7033999712191,289.28186053028253,97.18228809803317,108.26744009125038,80.56460763482654,159.40798238857212,122.47880346601491,131.8406894942162,232.5587254934375,256.1834905829317,244.86115199652016,83.50154247550051,73.88370140280126,104.11939933014438,143.83806222422317,170.96669518319794,160.2211191371373,202.12075446371202,214.55911406565536,195.32535307264178,137.22210055471697,134.43239730925723,124.58921487654673
GLNS,242.0627353592013,171.3955764448641,199.81845462371308,72.9165999259536,56.83574738008841,56.72502198381941,76.3328254035911,70.91447049753371,59.88841777678449,178.0725074181716,168.94660975515887,186.5150621719211,49.72196699832229,74.16951842950459,67.33144989276606,74.29091906398327,71.12461551570729,60.890175794919756,241.23883522941625,189.3921404476158,220.1041598928803,167.36195478369928,91.33392796464432,165.71252334558483
GLS,64.75100220213935,54.302099795939036,52.229107026434214,181.69382276631052,170.60041549662608,179.3151442445322,85.0015374368065,95.99397835641759,83.0467088235627,46.96880388165886,41.17728165788224,48.037593389157365,118.783884366557,130.33256417670168,124.07448629433111,121.30512668144168,106.53252830500297,112.93897505396137,61.65419276165813,53.10657992281133,49.899390286274205,177.65361232530373,143.4003616375298,178.9030185148992
GLS2,64.75100220213935,54.302099795939036,52.229107026434214,181.69382276631052,170.60041549662608,179.3151442445322,85.0015374368065,95.99397835641759,83.0467088235627,46.96880388165886,41.17728165788224,48.037593389157365,118.783884366557,130.33256417670168,124.07448629433111,121.30512668144168,106.53252830500297,112.93897505396137,61.65419276165813,53.10657992281133,49.899390286274205,177.65361232530373,143.4003616375298,178.9030185148992
GLTPD,7.067525119976691,5.85467383244626,5.2229107026434205,1.43442491657614,3.1678941162672203,1.7903246141072602,3.13036823421667,2.0539252125810097,3.33910243000058,4.08947332132241,5.80350949540622,5.01680159858153,1.63344175421558,0.7145425667582329,1.49323780004118,1.01652340794504,1.8527396226957,1.7682753071757,4.86575145367188,7.25150087299432,7.00642123882617,2.69543411803908,1.30601422256403,0.775911480547889
