,fluxes
ALR2,14.186122977402922
ALR3,14.186122977402922
AM3PA,7.301971975899138e-09
AM4PA,7.3408747323590276e-09
AMALT1,0.0
AMALT2,5.433413260978997e-10
AMALT3,5.433403100889718e-10
AMALT4,5.433420271072563e-10
AMANAPEr,4.044779062434462e-08
AMANK,4.044779893037689e-08
AMAOTr,-1.829059796407076e-15
AMID2,-1.756445115022142e-08
AMID4,0.0
AMID_1,0.0
AMMQLT8,-1.5749462587327784e-08
AMMQT8,3.112015026197186e-08
AMMQT8_2,-1.5372847122810826e-08
AMPEP1,2.158599880714545e-15
AMPEP10,0.0
AMPEP11,0.0
AMPEP12,-1.1419708084132524e-15
AMPEP13,-1.5631186456644608e-15
AMPEP14,0.0
AMPEP15,0.0
AMPEP16,0.0
AMPEP17,0.0
AMPEP18,0.0
AMPEP2,1.4377769095525011e-15
AMPEP3,4.2114783725120835e-16
AMPEP4,-1.5631186456644608e-15
AMPEP5,-5.954812350500845e-16
AMPEP6,3.3495623508147146e-15
AMPEP7,4.070385321976759e-15
AMPEP8,1.737452043463337e-15
AMPEP9,-2.158599880714545e-15
AMPTASEAH,1.9466483671624847e-08
AMPTASEAL,1.0388762216346574e-08
AMPTASEAT,9.92389229250331e-09
AMPTASEATRP,1.0776885716421338e-08
AMPTASECG,-7.136858981021947e-09
AMPTASEGGLN,1.4001903836727722e-08
AMPTASEGGLU,1.1284806461022733e-08
AMPTASEGM,7.79957638367585e-09
AMPTASEGS,-1.4495848530149523e-09
AMPTASEHG,1.9101755592844927e-08
AMPTASEHH,2.1036358198290263e-08
AMPTASEPG,9.140459972432671e-09
ANDO1,2.6246353232348313e-08
ANDO2,2.114077114871055e-08
ANHGMtex,1.9627484052013024e-08
ANHMK,2.1944818158504786e-08
ANPRT,-1.3658109860294129e-08
ANS,-3.913812500236251e-09
ANS2,3.764282341637714e-08
AOBUTDs,4.795692701466279e-08
AOXSr,-4.8197107484223565e-15
AP3S,-1.0424772819625182e-08
AP4AH,-1.2467090538066452e-08
AP4AS,-1.246708727771642e-08
APAT_1,-127.11336967633868
APCt6,17.490983714902416
APCtex,17.490983714902416
APENTAMAH2,-1.966594691986163e-08
APG3PAT120,1.9891113665187152e-08
APG3PAT141,2.028364837945465e-08
APG3PAT160,2.1732950044163534e-08
APG3PAT161,1.89007612297958e-08
APG3PAT180,1.682278899136852e-08
APG3PAT181,1.4533994314960739e-08
APPLDHr,6.748879458723688e-09
APRAUR,-9.620532530727283e-12
APRTO2,-2.9604886954824536e-09
APSR,7.532974102808151e-08
APTNAT,-3.433872764556038e-08
ARABR,2.301991586619136e-15
ARABRr,0.0
ARACHTA,0.3217376208664521
ARBT6Pt,4.818649630690767e-16
ARBTpts,0.0
ARBabcpp,-9.44896733988402e-09
ARBt2r,0.0
ARBt3ipp,-9.448969447803855e-09
ARGAGMt7pp,-1.595188787031527e-08
ARGDI_1,-4.006816108287655e-09
ARGDr,4.469164183722875e-09
ARGN_1,1.2642633323258451e-08
ARGR,2.3531002861588373e-08
ARGSL,-1.6682491059409228e-08
ARGSS,-1.6682486969479305e-08
ARGabc,-1.4165975092931902e-08
ARGabcpp,1.59518828822092e-08
ARGt2r,47.59025532542008
ARGt5r,-47.59025529224929
ARUH,-3.0518085902132844e-08
ASAD,-0.7038984231232814
ASCBPL,0.0
ASCBpts,0.0
ASNN,-7.626831409073248e-09
ASNN_1,-7.604771373029744e-09
ASNNpp,3.519304539256883e-11
ASNS1,-1.6414248918969004e-08
ASNS2,-1.4668383037369086e-08
ASNabc,-1.3013859274988238e-08
ASNt2r,-5.012989799864247e-09
ASNt2rpp,3.078469171508625e-08
ASNtex,3.081988934766293e-08
ASO3t2pp,1.4898208103188345e-08
ASO3t4pp,5.226117679433366e-08
ASO3t8pp,-1.4615619274224479e-08
ASO3tex,-5.254377082997223e-08
ASO3tex_1,-3.4015807277614764e-08
ASO4rt2rpp,3.638524923856402e-08
ASO4t4pp,1.7857288122463635e-08
ASO4tex,1.8527962547442757e-08
ASP1DC,-7.676223731748317e-09
ASP3H,-1.877467106204465e-08
ASPA2,0.09728046976991221
ASPCT,-1.5549340914623343e-09
ASPK,0.7038984231232753
ASPO1,8.218082062664837e-09
ASPO5,-1.1425487346817127e-08
ASPO6,-5.991074497848935e-09
ASPT,6.202349363853802e-09
ASPTA,-0.7038983362398111
ASPabc,-1.3573458139258454e-08
ASPabcpp,-6.514954117511318e-09
ASPt2_2pp,-5.683146847002775e-09
ASPt2pp,1.2405109869355552e-08
ASPt2r,-8.332042655200396e-09
ASPtex,1.7182462046538488e-10
ASR,-1.087238971666434e-08
ASR2,2.9400352204428915e-08
ATAH_1,1.0606577739203924e-08
ATPHs,-1.190656840169962e-08
ATPPRT,-1.0528889485183537e-08
ATPS4rpp,108.959863184014
AT_MBD2,-2.1959001311690905e-08
BALAt2pp,-7.62673007745461e-09
BALAt2r,-1.2862519351919865e-08
BALAtex,-7.626733566036221e-09
BCOALIG,-8.854071101747221e-09
BCOALIG2,-8.859560486318645e-09
BCT1_syn,-1.8388490781187633e-08
BDH,1.6182158330041487e-08
BEF,-1.0016306788297458e-08
BETALDHx,1.1286150980094254e-08
BETALDHy,1.1420430866989092e-08
BGLA,-1.4434024365918015e-16
BG_CELLB,0.0
BKDA2,2.1959013054289077e-08
BKDC1,5.277305624794289e-08
BMNMSHS,-1.3556891601320694e-08
BMNt,1.3556891807099301e-08
BPNT,-1.3702686377393493e-09
BPNT2,-9.320845035046952e-09
BSCT,-6.4000352357273616e-09
BTDD_RR,-8.422956745024167e-16
BTNTe,-1.4640557031186131e-08
BTNt,-1.4640561646126787e-08
BTS,-4.215094714448116e-07
BTS2,-6.6515914683618986e-09
BTS3r,6.190621521609268e-09
BTS_nadph,4.215094761451717e-07
BUPN,1.0747749119853762e-08
BUTCT,6.192045780359134e-09
BUTSO3abcpp,2.5331656806646665e-09
BUTSO3tex,2.5331635654174855e-09
BUTSabc,0.0
BUTt2rpp,-2.3464837850237436e-09
BUTt4pp,6.0053616664008146e-09
BUTtex,3.65887725249626e-09
BZ12DOX,1.1829205025959284e-08
BZALCt2pp,4.9351612959010415e-09
BZALCtex,-4.935162106742435e-09
BZALDH,4.935167649558413e-09
BZDH,4.935165788041508e-09
BZDIOLDH,1.1829208931862673e-08
BZSCD,1.6682869083476223e-09
BZSCT,1.6682904029763317e-09
BZSS,1.6682881925881365e-09
BZt,5.113745312796305e-09
BZt1pp,1.2957932199625468e-08
BZt2_pp,-4.777601848128892e-09
BZtex,8.180330832219443e-09
C4HP,6.926116905525678
CA2abc,-1.3432788834132959e-08
CA2abc1,-1.4192870387131002e-08
CA2abcpp,-1.3434658613461519e-08
CA2tex,-1.3434664282533979e-08
CAATPS,-6.916105731919457e-09
CARBSARAH,1.1284201514139483e-08
CARNabcpp,1.9131087729222565e-08
CARNtex,1.9131086215865856e-08
CAT,81.90427369329922
CATDOX,100.00000007832705
CATpp,-5.394539093637512e-09
CAt4,-8.263807296200467e-09
CBMD,-7.684826211931281e-09
CBPAH,1.595187609182137e-08
CBPS,-1.8699776707147587e-08
CD2t3pp,3.9583561375947846e-08
CD2t4pp,3.181030672226376e-08
CD2tpp,7.139386818626701e-08
CDAPPA160190,-1.2720936230126447e-08
CDAPPA190,-1.2720933848889571e-08
CDGUNPD,-1.507116628897552e-08
CDPMEK,-1.0728621690284237e-08
CDPPT160,-6.926249096253807e-10
CGLYabcpp,-4.894434975954359e-09
CHCD,-1.8416459299410038e-14
CHCOAL,0.0
CHLabc,-2.343778712425643e-09
CHLabc_rev,-1.503405530699103e-08
CHLabcpp,-8.033516521642013e-09
CHLt3pp,-8.033503870869576e-09
CHOD,0.0
CHOL1,0.0
CHOLCOA,-1.905966360358329e-14
CHOLD,8.285531158828802e-09
CHOLD3,4.404742878900527e-09
CHOLSH,0.0
CHOLSabc_1,0.0
CHORM,6.926116870223534
CHORS,6.926116864471034
CHSTEROLt_1,0.0
CIGAMS,-1.3556892272378817e-08
CITACt,7.47272967070494e-09
CITL,-1.4554642506055188e-08
CITt14,-9.534238588351538e-09
CITt4pp_1,9.457158544177054e-09
CITt_kt,5.630601911480122e-10
CITtex,4.398175367613328e-08
CITtupp,3.396153529033763e-08
CLPNH140pp,-4.4890101511761214e-09
CLPNS140pp,-4.489009179622045e-09
CMCBTFL,8.105519860605476e-10
CMCBTFU,8.105525618491458e-10
CMCBTFtex,-2.0641439551978947e-08
CMCBTFtpp,-2.064143882743417e-08
CMCMSAD,6.926116911831976
CMHMI,6.926116911831982
CMLDC,-8.679871274971355e-09
CMt2ex,6.996393645194811
CMt2ppi,6.99639362971303
CMtex,20.989180550859295
CMtexabc,-1.5481785992130793e-08
CMtpp,13.992786921146267
CO2t,-206.07663564285383
CO2tex,-71.39139110305833
CO2tpp,-134.68524454092673
COBALT2abcpp,-1.3508474275283985e-08
COBALT2t3pp,6.680057648811955e-08
COBALT2tpp,1.209650718249347e-07
COBALTt4pp,5.222524465938893e-08
COBALTt5,-1.1875282337461597e-08
COCO2,1.3717732892305028e-08
COabc,-1.18774413410189e-08
COt_1,1.3717732691253867e-08
CPPPGO,-1.161613211237337e-08
CPPPGO2,-4.3088565838764455e-09
CREAT,1.555897498819934e-08
CREATtex,1.555897692231651e-08
CREATtpp,1.5558975948498236e-08
CRNDH,9.910378530339174e-09
CRNDt2rpp,3.0712183815540275e-08
CRNabc,-1.0646049469608771e-08
CRNabcpp,-1.430858699666021e-08
CRNt2rpp,4.1528375237761804e-09
CRNt8pp,3.071218233556136e-08
CRNtex,2.0556423326187436e-08
CRO4abcpp,-9.717821152745885e-09
CRO4t3pp,-9.717821601635224e-09
CRTNIH,1.1284203300477433e-08
CRTNtex,1.1284203627663786e-08
CRTNtpp,1.1284199728063781e-08
CS,89.91869778072078
CSND,-8.859397401482816e-10
CSNt2,0.0
CTBTabcpp,-1.2530834254545358e-08
CTBTt2rpp,1.2530836506763845e-08
CTECOAI6,3.1849895388338624e-07
CTECOAI7,-4.003442296665896e-07
CTECOAI8,-9.594719408520914e-07
CTI1,7.968543081044624e-15
CTPS1,3.752883724316931e-09
CTPS2,-9.597837221034937e-09
CU2t4pp,-7.97164919983943e-09
CUabcpp,-7.97164756564152e-09
CYANST,1.0385940867708949e-08
CYANt2pp,1.0385940706612896e-08
CYANtex,1.0385941144070266e-08
CYO1b,-2.673096515444319e-09
CYP1,0.0
CYP2,0.0
CYP3,0.0
CYS,0.06665268509399065
CYSK2_I,3.134895129850922e-08
CYSS,-1.4709136334463261e-08
CYSTA,5.624410949188278e-08
CYSTGL,1.1353274452878426e-08
CYSTL,5.4904456726273105
CYSTS,5.423793131235655
CYSabc,0.0
CYSabcpp,-6.974488828294985e-09
CYSt2r,0.0
CYStpp,-6.974485902743839e-09
CYTBD,40.68458294708093
CYTBD2,17.838568650527378
CYTD,-1.925788330606456e-09
CYTDH,-9.39943677882077e-09
CYTK1,-8.11263359401454e-08
CYTK2,-1.7174095553588116e-08
CYTOM,-8.513458214976822e-09
Clt,-1.1279621116665257e-10
Cobalt2abcppI,-1.5447727509372705e-08
Cotpp,1.3717732785781692e-08
Cuabc,-1.4523036705369984e-08
Cut1,-1.4507683520867593e-08
D4DGCD,-1.0961817647597512e-08
D5KGK,1.0042073480615937e-08
D5KGPA,1.0042074995772069e-08
DAAD,2.3778339226237357e-08
DAAD12,1.3359108644393811e-08
DAAD2,2.353099850104934e-08
DAAD4,0.0
DAAD5,-6.600007852536115e-09
DAAD7,6.219893364855711e-08
DAAD8,-6.222921475089269e-10
DABAAT2,1.8774670632581336e-08
DACL,-8.555108481170426e-16
DADA,-1.2291236495879393e-09
DADNt2,0.0
DAGK140,-5.470331450873066e-09
DAGK160,2.8833771064589115e-09
DAGLIPA160ex,0.0
DAGLIPA180ex,0.0
DAGLIPA181d9ex,0.0
DAGLIPA182d9d12ex,0.0
DALAabcpp,-1.465220122394017e-08
DALAt2pp,1.9631174698123435e-08
DALAt2r,0.0
DAPDA,8.679907799159904e-17
DAPDC,1.5177496123152858e-07
DAPE,1.1837117881644061e-07
DAPabcpp,1.0190480679090365e-08
DARBabcpp,-9.484294022573652e-09
DARBt3ipp,-9.484296037212418e-09
DASYN120,1.739362585442807e-09
DASYN140,-4.4890148165988856e-09
DASYN141,1.2277653361462029e-09
DASYN160,1.4194344570333264e-09
DASYN160190,-1.2720931833439413e-08
DASYN161,8.810528628187488e-10
DASYN180,3.529316142184364e-09
DASYN181,4.667356866979357e-09
DASYN190190,-1.2720931755183699e-08
DATPHs,-9.018359653005142e-10
DB4PS,-1.922975671968634e-11
DBTS,1.102284880371518e-14
DCAtex,-4.858518238907639e-09
DCTPD,-8.91419631210328e-09
DCTPD2,-1.283622150206277e-08
