Line Name,Measurement Type,Time,Value,Units,,,,
WT-G-R1,PD630_LPD01995,14,218,counts,,,,
WT-G-R1,PD630_LPD00935,14,1169,counts,,,,
WT-G-R1,PD630_LPD06794,14,6223,counts,,,,
WT-G-R1,PD630_LPD07866,14,38,counts,,,,
WT-G-R1,PD630_LPD05030,14,192,counts,,,,
WT-G-R1,PD630_LPD04987,14,1158,counts,,,,
WT-G-R1,PD630_LPD04535,14,312,counts,,,,
WT-G-R1,PD630_LPD05956,14,432,counts,,,,
WT-G-R1,PD630_LPD12023,14,44,counts,,,,
WT-G-R1,PD630_LPD07744,14,906,counts,,,,
WT-G-R1,PD630_LPD07795,14,1781,counts,,,,
WT-G-R1,PD630_LPD07796,14,3053,counts,,,,
WT-G-R1,PD630_LPD06646,14,9,counts,,,,
WT-G-R1,PD630_LPD08016,14,88,counts,,,,
WT-G-R1,PD630_LPD09119,14,0,counts,,,,
WT-G-R1,PD630_LPD03766,14,39,counts,,,,
WT-G-R1,PD630_LPD06756,14,412,counts,,,,
WT-G-R1,PD630_LPD06420,14,48,counts,,,,
WT-G-R1,PD630_LPD02225,14,79,counts,,,,
WT-G-R1,PD630_LPD06199,14,22,counts,,,,
WT-G-R1,PD630_LPD01597,14,214,counts,,,,
WT-G-R1,PD630_LPD07538,14,920,counts,,,,
WT-G-R1,PD630_LPD01999,14,10891,counts,,,,
WT-G-R1,PD630_LPD04127,14,1759,counts,,,,
WT-G-R1,PD630_LPD01987,14,2192,counts,,,,
WT-G-R1,PD630_LPD07158,14,58,counts,,,,
WT-G-R1,PD630_LPD07587,14,16,counts,,,,
WT-G-R1,PD630_LPD12032,14,36,counts,,,,
WT-G-R1,PD630_LPD03103,14,188,counts,,,,
WT-G-R1,PD630_LPD04133,14,1189,counts,,,,
WT-G-R1,PD630_LPD06648,14,33,counts,,,,
WT-G-R1,PD630_LPD02337,14,14,counts,,,,
WT-G-R1,PD630_LPD02018,14,72,counts,,,,
WT-G-R1,PD630_LPD02996,14,1299,counts,,,,
WT-G-R1,PD630_LPD06174,14,50,counts,,,,
WT-G-R1,PD630_LPD07530,14,97,counts,,,,
WT-G-R1,PD630_LPD06443,14,194,counts,,,,
WT-G-R1,PD630_LPD05297,14,3675,counts,,,,
WT-G-R1,PD630_LPD04979,14,133,counts,,,,
WT-G-R1,PD630_LPD06442,14,2224,counts,,,,
WT-G-R1,PD630_LPD00402,14,2567,counts,,,,
WT-G-R1,PD630_LPD04846,14,139,counts,,,,
WT-G-R1,PD630_LPD01283,14,171,counts,,,,
WT-G-R1,PD630_LPD01855,14,256,counts,,,,
WT-G-R1,PD630_LPD03998,14,1050,counts,,,,
WT-G-R1,PD630_LPD02995,14,358,counts,,,,
WT-G-R1,PD630_LPD06494,14,716,counts,,,,
WT-G-R1,PD630_LPD04404,14,24,counts,,,,
WT-G-R1,PD630_LPD02224,14,72,counts,,,,
WT-G-R1,PD630_LPD03833,14,211,counts,,,,
WT-G-R1,PD630_LPD03182,14,107,counts,,,,
WT-G-R1,PD630_LPD02129,14,13,counts,,,,
WT-G-R1,PD630_LPD04049,14,628,counts,,,,
WT-G-R1,PD630_LPD03810,14,21,counts,,,,
WT-G-R1,PD630_LPD08025,14,5,counts,,,,
WT-G-R1,PD630_LPD01057,14,47,counts,,,,
WT-G-R1,PD630_LPD02889,14,2034,counts,,,,
WT-G-R1,PD630_LPD06419,14,400,counts,,,,
WT-G-R1,PD630_LPD06974,14,10,counts,,,,
WT-G-R1,PD630_LPD06355,14,1864,counts,,,,
WT-G-R1,PD630_LPD03091,14,526,counts,,,,
WT-G-R1,PD630_LPD05581,14,143,counts,,,,
WT-G-R1,PD630_LPD07863,14,118,counts,,,,
WT-G-R1,PD630_LPD01544,14,212,counts,,,,
WT-G-R1,PD630_LPD02638,14,1142,counts,,,,
WT-G-R1,PD630_LPD07654,14,247,counts,,,,
WT-G-R1,PD630_LPD03862,14,228,counts,,,,
WT-G-R1,PD630_LPD02979,14,233,counts,,,,
