Line Name,Measurement Type,Time,Value,Units
WT-C5-R2,Optical Density,63.22666667,0.007868018,n/a
WT-C5-R3,Optical Density,0,0.001,n/a
WT-C5-R3,Optical Density,3.815277778,0.000361504,n/a
WT-C5-R3,Optical Density,10.57694444,0.005497542,n/a
WT-C5-R3,Optical Density,14.79083333,0,n/a
WT-C5-R3,Optical Density,19.89388889,0,n/a
WT-C5-R3,Optical Density,23.24555556,0,n/a
WT-C5-R3,Optical Density,29.30138889,0,n/a
WT-C5-R3,Optical Density,34.14083333,0,n/a
WT-C5-R3,Optical Density,40.13944444,0,n/a
WT-C5-R3,Optical Density,45.16194444,0,n/a
WT-C5-R3,Optical Density,50.67194444,0,n/a
WT-C5-R3,Optical Density,54.7325,0,n/a
WT-C5-R3,Optical Density,63.22666667,0,n/a
WT-C5-R4,Optical Density,0,0.002139364,n/a
