reaction_id,reaction,genes
PAPSR,paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c,WP_005247443_1 or WP_005248348_1 or WP_005249122_1 or WP_025432925_1
PAP_BS,0.01 12dag3p_BS_c + h2o_c --> 0.01 12dgr_BS_c + pi_c,
PC,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,WP_005240436_1 or WP_005250930_1 or WP_025433375_1 or WP_025433938_1
PCADYOX,34dhbz_c + o2_c --> CCbuttc_c + 2.0 h_c,WP_005248114_1 and WP_025432948_1
PCNO,nadp_c + ppcoa_c <=> h_c + nadph_c + prpncoa_c,WP_025433300_1
PDBL_3,dhap_c + gln__L_c + ru5p__D_c --> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c,WP_005240983_1 and WP_011598631_1
PDBL_4,dhap_c + gln__L_c + r5p_c --> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c,WP_005240983_1 and WP_011598631_1
PDC,2ahethmpp_c <=> acald_c + thmpp_c,
PDE1,camp_c + h2o_c --> amp_c + h_c,WP_005252675_1
PDE4,35cgmp_c + h2o_c --> gmp_c + h_c,WP_005238828_1 or WP_005252675_1 or WP_025432743_1
PDH,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,WP_025433506_1 or ( WP_005252807_1 and WP_025432670_1 ) or ( WP_025432898_1 and WP_226955526_1 ) or ( WP_005251816_1 and WP_025432898_1 and WP_226955526_1 )
PDHa,h_c + lpam_c + pyr_c --> adhlam_c + co2_c,( WP_025432898_1 and WP_226955526_1 ) or ( WP_005251816_1 and WP_025432898_1 and WP_226955526_1 )
PDHbr,adhlam_c + coa_c <=> accoa_c + dhlam_c,WP_005243581_1 or WP_005252807_1 or WP_025432898_1
PDHcr,dhlam_c + nad_c --> h_c + lpam_c + nadh_c,WP_005238509_1 or WP_005243582_1 or WP_005251816_1
PDIMAS,2.0 h_c + phthiocerol_c + 2.0 tamocta_c --> 2.0 h2o_c + pdima_c,
PDIMAT,pdima_c --> pdima_e,WP_005239620_1 and WP_005239622_1 and WP_025432234_1
PDX5POi,o2_c + pdx5p_c --> h2o2_c + pydx5p_c,WP_005238757_1 or WP_005244096_1
PDX5PS,dxyl5p_c + nad_c + phthr_c --> co2_c + 2.0 h2o_c + h_c + nadh_c + pdx5p_c + pi_c,WP_005244648_1
PDYXPT_c,pydam_c + pyr_c <=> ala__L_c + pydx_c,
PE120abcpp,atp_c + h2o_c + pe120_c --> adp_c + h_c + pe120_p + pi_c,WP_005248726_1 or WP_025432108_1
PE141abcpp,atp_c + h2o_c + pe141_c --> adp_c + h_c + pe141_p + pi_c,WP_005248726_1 or WP_025432108_1
PE160abcpp,atp_c + h2o_c + pe160_c --> adp_c + h_c + pe160_p + pi_c,WP_005248726_1 or WP_025432108_1
PE161abcpp,atp_c + h2o_c + pe161_c --> adp_c + h_c + pe161_p + pi_c,WP_005248726_1 or WP_025432108_1
PE180abcpp,atp_c + h2o_c + pe180_c --> adp_c + h_c + pe180_p + pi_c,WP_005248726_1 or WP_025432108_1
PE181abcpp,atp_c + h2o_c + pe181_c --> adp_c + h_c + pe181_p + pi_c,WP_005248726_1 or WP_025432108_1
PEALtabc,atp_c + h2o_c + pea_c --> adp_c + h_c + pea_e + pi_c,WP_005244443_1
PEAMNO,h2o_c + o2_c + peamn_c --> h2o2_c + nh4_c + pacald_c,WP_005252451_1
PEAMNOpp,h2o_p + o2_p + peamn_p --> h2o2_p + nh4_p + pacald_p,WP_005250970_1
PEAMNtex,peamn_e <=> peamn_p,
PENAM,h2o_p + peng_p <=> 6apa_p + pac_p,WP_005251922_1
PENTSOtex,pentso3_e <=> pentso3_p,
PEPA,malt_c + pi_c --> h2o_c + malt6p_c,WP_025431661_1
PEPCK_re,gtp_c + oaa_c --> co2_c + gdp_c + pep_c,WP_005243743_1
PERD,4per_c + nad_c <=> h_c + nadh_c + ohpb_c,WP_043944104_1
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,WP_005240365_1
PFK_2,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c,
PG120abcpp,atp_c + h2o_c + pg120_c --> adp_c + h_c + pg120_p + pi_c,WP_005248726_1 or WP_025432108_1
PG140abcpp,atp_c + h2o_c + pg140_c --> adp_c + h_c + pg140_p + pi_c,WP_005248726_1 or WP_025432108_1
PG141abcpp,atp_c + h2o_c + pg141_c --> adp_c + h_c + pg141_p + pi_c,WP_005248726_1 or WP_025432108_1
PG160abcpp,atp_c + h2o_c + pg160_c --> adp_c + h_c + pg160_p + pi_c,WP_005248726_1 or WP_025432108_1
PG161abcpp,atp_c + h2o_c + pg161_c --> adp_c + h_c + pg161_p + pi_c,WP_005248726_1 or WP_025432108_1
PG180abcpp,atp_c + h2o_c + pg180_c --> adp_c + h_c + pg180_p + pi_c,WP_005248726_1 or WP_025432108_1
PG181abcpp,atp_c + h2o_c + pg181_c --> adp_c + h_c + pg181_p + pi_c,WP_005248726_1 or WP_025432108_1
PGAMT,gam1p_c <=> gam6p_c,WP_005239736_1
PGCD,3pg_c + nad_c --> 3php_c + h_c + nadh_c,WP_005240386_1 or WP_005243492_1 or WP_005245386_1 or WP_025433303_1 or WP_037179823_1 or WP_043944104_1
PGI,g6p_c <=> f6p_c,WP_005238524_1
PGK,3pg_c + atp_c <=> 13dpg_c + adp_c,WP_005241786_1
PGL,6pgl_c + h2o_c --> 6pgc_c + h_c,WP_005241790_1 or WP_005252861_1
PGLCNDH,6p2dhglcn_c + nadph_c <=> 6pgc_c + 2.0 h_c + nadp_c,WP_005237768_1
PGLYCP,2pglyc_c + h2o_c --> glyclt_c + pi_c,WP_005241230_1 or WP_005243467_1 or WP_005246276_1 or WP_005251092_1 or WP_025432907_1
PGM,2pg_c <=> 3pg_c,WP_005240106_1 or WP_005243070_1 or WP_025431648_1 or WP_179443232_1
PGMT,g1p_c <=> g6p_c,WP_005241230_1 or WP_005243022_1 or WP_011597565_1 or WP_025432316_1
PGP120abcpp,atp_c + h2o_c + pgp120_c --> adp_c + h_c + pgp120_p + pi_c,WP_005248726_1 or WP_025432108_1
PGP140abcpp,atp_c + h2o_c + pgp140_c --> adp_c + h_c + pgp140_p + pi_c,WP_005248726_1 or WP_025432108_1
PGP141abcpp,atp_c + h2o_c + pgp141_c --> adp_c + h_c + pgp141_p + pi_c,WP_005248726_1 or WP_025432108_1
PGP160abcpp,atp_c + h2o_c + pgp160_c --> adp_c + h_c + pgp160_p + pi_c,WP_005248726_1 or WP_025432108_1
PGP161abcpp,atp_c + h2o_c + pgp161_c --> adp_c + h_c + pgp161_p + pi_c,WP_005248726_1 or WP_025432108_1
PGP180abcpp,atp_c + h2o_c + pgp180_c --> adp_c + h_c + pgp180_p + pi_c,WP_005248726_1 or WP_025432108_1
PGP181abcpp,atp_c + h2o_c + pgp181_c --> adp_c + h_c + pgp181_p + pi_c,WP_005248726_1 or WP_025432108_1
PGPP120pp,h2o_p + pgp120_p --> pg120_p + pi_p,
PGPP140pp,h2o_p + pgp140_p --> pg140_p + pi_p,
PGPP141pp,h2o_p + pgp141_p --> pg141_p + pi_p,
PGPP160,h2o_c + pgp160_c --> pg160_c + pi_c,WP_005242980_1 or WP_005244140_1
PGPP160pp,h2o_p + pgp160_p --> pg160_p + pi_p,
PGPP161pp,h2o_p + pgp161_p --> pg161_p + pi_p,
PGPP180pp,h2o_p + pgp180_p --> pg180_p + pi_p,
PGPP181pp,h2o_p + pgp181_p --> pg181_p + pi_p,
PGSA120,cdpdddecg_c + glyc3p_c --> cmp_c + h_c + pgp120_c,
PGSA140,cdpdtdecg_c + glyc3p_c --> cmp_c + h_c + pgp140_c,
PGSA141,cdpdtdec7eg_c + glyc3p_c --> cmp_c + h_c + pgp141_c,
PGSA160,cdpdhdecg_c + glyc3p_c --> cmp_c + h_c + pgp160_c,WP_005240738_1 or WP_025432827_1
PGSA161,cdpdhdec9eg_c + glyc3p_c --> cmp_c + h_c + pgp161_c,
PGSA180,cdpdodecg_c + glyc3p_c --> cmp_c + h_c + pgp180_c,
PGSA181,cdpdodec11eg_c + glyc3p_c --> cmp_c + h_c + pgp181_c,
PHACOAOR,h2_c + o2_c + phaccoa_c --> 2dhphaccoa_c,WP_005250773_1 and WP_005250775_1 and WP_005250777_1 and WP_005250779_1 and WP_025433340_1
PHCD,1p3h5c_c + 2.0 h2o_c + nad_c --> e4hglu_c + h_c + nadh_c,
PHEHPAtexi,phehpa_e --> phehpa_p,
PHEHXAtexi,phehxa_e --> phehxa_p,
PHEME2abcpp,atp_c + h2o_c + pheme_p --> adp_c + h_c + pheme_c + pi_c,WP_005243084_1 and WP_005256362_1
PHEMEabcpp,atp_c + h2o_c + pheme_c --> adp_c + h_c + pheme_p + pi_c,WP_005239346_1
PHEMEt,pheme_e <=> pheme_c,WP_025431923_1 or WP_025431965_1
PHEOCTAtexi,pheocta_e --> pheocta_p,
PHEOR,o2_c + phe__L_c --> co2_c + h2o_c + pad_c,
PHEPTtexi,phept_e --> phept_p,
PHER,phe__L_c <=> 2.0 h_c + phe__D_c,
PHET,fad_c + h2o_c + 2.0 h_c + phe__D_c --> fadh2_c + nh4_c + phpyr_c,WP_025432946_1
PHETA1,akg_c + phe__L_c <=> glu__L_c + phpyr_c,WP_005238257_1 or WP_005240147_1 or WP_005244454_1 or WP_005250042_1 or WP_005250481_1
PHEabc,atp_c + h2o_c + phe__L_e --> adp_c + h_c + phe__L_c + pi_c,WP_005251655_1 or WP_025432117_1
PHNO,h2o_c + nad_c + ppat_c <=> 3.0 h_c + nadh_c + pi_c,WP_005249618_1 or WP_005249620_1
PHTHDLS,h_c + prephth_c --> co2_c + phthdl_c,
PHTHS,amet_c + nadph_c + phthdl_c --> ahcys_c + nadp_c + phthiocerol_c,WP_005244560_1 and WP_005247427_1
PHYCBOXL,h_c + phe__L_c --> co2_c + peamn_c,
PICH,h2o_c + phitcoa_c <=> hmpscoa_c,
PIMEtr,pime_e --> pime_c,
PIabc,atp_c + h2o_c + pi_e --> adp_c + h_c + 2.0 pi_c,WP_005244341_1 or WP_005252062_1 or ( WP_005244344_1 and WP_005244345_1 ) or ( WP_005244344_1 and WP_005244346_1 ) or ( WP_005244344_1 and WP_005244345_1 and WP_005244346_1 )
PItex,pi_e <=> pi_p,
PKETF,f6p_c + pi_c --> actp_c + e4p_c + h2o_c,WP_025432982_1
PKETX,pi_c + xu5p__D_c --> actp_c + g3p_c + h2o_c,WP_025432982_1
PLCD,h2o_c + ptd1ino160_c --> 12dgr160_c + h_c + mi1p__D_c,
PLIPA1A120pp,h2o_p + pa120_p --> 2ddecg3p_p + ddca_p,
PLIPA1A141pp,h2o_p + pa141_p --> 2tdec7eg3p_p + ttdcea_p,
PLIPA1A160pp,h2o_p + pa160_p --> 2hdecg3p_p + hdca_p,
PLIPA1A161pp,h2o_p + pa161_p --> 2hdec9eg3p_p + hdcea_p,
PLIPA1A181pp,h2o_p + pa181_p --> 2odec11eg3p_p + ocdcea_p,
PLIPA1E120pp,h2o_p + pe120_p --> 2agpe120_p + ddca_p + h_p,
PLIPA1E141pp,h2o_p + pe141_p --> 2agpe141_p + h_p + ttdcea_p,
PLIPA1E160,h2o_c + pe160_c --> 2agpe160_c + h_c + hdca_c,
PLIPA1E160pp,h2o_p + pe160_p --> 2agpe160_p + h_p + hdca_p,
PLIPA1E161pp,h2o_p + pe161_p --> 2agpe161_p + h_p + hdcea_p,
PLIPA1E180,h2o_c + pe180_c --> 2agpe180_c + h_c + ocdca_c,
PLIPA1E180pp,h2o_p + pe180_p --> 2agpe180_p + h_p + ocdca_p,
PLIPA1E181d11pp,h2o_p + pe181_p --> 2agpe181_p + h_p + vacc_p,
PLIPA1G120pp,h2o_p + pg120_p --> 2agpg120_p + ddca_p + h_p,
PLIPA1G140pp,h2o_p + pg140_p --> 2agpg140_p + h_p + ttdca_p,
PLIPA1G141pp,h2o_p + pg141_p --> 2agpg141_p + h_p + ttdcea_p,
PLIPA1G160pp,h2o_p + pg160_p --> 2agpg160_p + h_p + hdca_p,
PLIPA1G161pp,h2o_p + pg161_p --> 2agpg161_p + h_p + hdcea_p,
PLIPA1G180pp,h2o_p + pg180_p --> 2agpg180_p + h_p + ocdca_p,
PLIPA1G181d11pp,h2o_p + pg181_p --> 2agpg181_p + h_p + vacc_p,
PLIPA2A180pp,h2o_p + pa180_p --> 1odecg3p_p + h_p + ocdca_p,
PLIPA2G160pp,h2o_p + pg160_p --> 1agpg160_p + h_p + hdca_p,
PLPS,g3p_c + gln__L_c + r5p_c --> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c,WP_005240983_1 and WP_011598631_1
PMANM,man1p_c <=> man6p_c,WP_005239918_1 or WP_025432288_1
PMDPHT,5aprbu_c + h2o_c --> 4r5au_c + pi_c,
PMPK,4ampm_c + atp_c --> 2mahmp_c + adp_c,WP_005251723_1
PNCDC,h_c + ptcys_c --> co2_c + ptth_c,WP_005238987_1
PNCDC_1,h_c + ptcys_c <=> co2_c + ptth_c,
PNP,pi_c + rnam_c <=> h_c + ncam_c + r1p_c,
PNTK,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,WP_005238987_1 or WP_005244962_1
PNTOt2,h_e + pnto__R_e --> h_c + pnto__R_c,WP_005243991_1
PNTOt4pp,na1_p + pnto__R_p --> na1_c + pnto__R_c,WP_005244618_1
PNTOtex,pnto__R_e <=> pnto__R_p,
POAACR,nadh_c + poaac_c --> 3amac_c + h2o_c + nad_c,WP_037180756_1
POX,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c,WP_005247584_1
PPA,h2o_c + ppi_c --> h_c + 2.0 pi_c,WP_005244982_1 or WP_005251797_1 or WP_005251962_1
PPA2,h2o_c + pppi_c --> h_c + pi_c + ppi_c,WP_005251962_1
PPAKr,adp_c + ppap_c <=> atp_c + ppa_c,WP_005244868_1 or WP_005251699_1
PPATabc,atp_c + h2o_c + ppat_e --> adp_c + h_c + pi_c + ppat_c,WP_005249622_1
PPAt2pp,h_p + ppa_p --> h_c + ppa_c,WP_005243991_1 or WP_025433374_1
PPAt4pp,na1_p + ppa_p --> na1_c + ppa_c,WP_005243991_1 or WP_025433374_1
PPAtex,ppa_e <=> ppa_p,
PPBNGS,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,WP_025433135_1
PPC,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,WP_025432533_1 or WP_085990793_1
PPCDC,4ppcys_c + h_c --> co2_c + pan4p_c,WP_025432525_1
PPCOAC,atp_c + hco3_c + ppcoa_c --> adp_c + h_c + mmcoa__S_c + pi_c,WP_005250634_1 or WP_025433936_1 or ( WP_005239992_1 and WP_025431568_1 and WP_226955725_1 )
PPDOy,h_c + lald__D_c + nadph_c --> 12ppd__R_c + nadp_c,WP_005242122_1 or WP_025431806_1
PPGPPDP,h2o_c + ppgpp_c --> gdp_c + ppi_c,WP_005238835_1
PPK,atp_c + pi_c --> adp_c + ppi_c,WP_005251869_1
PPK2,atp_c + ppi_c --> adp_c + pppi_c,WP_005240409_1 or WP_005251869_1
PPM2,2dr1p_c <=> 2dr5p_c,
PPNCL3,4ppan_c + atp_c + cys__L_c --> 4ppcys_c + amp_c + h_c + ppi_c,WP_025432525_1
PPND,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c,WP_005239570_1 or WP_005248750_1
PPNDH,h_c + pphn_c --> co2_c + h2o_c + phpyr_c,WP_005248866_1
PPNDH2,fad_c + ppcoa_c <=> fadh2_c + prpncoa_c,WP_037179827_1
PPOR,o2_c + phpyr_c --> 2hyoxplac_c + co2_c,WP_025431936_1 or WP_025433226_1
PPPGO,1.5 o2_c + pppg9_c --> 3.0 h2o_c + ppp9_c,WP_025432413_1 or WP_025432981_1
PPPGO4,3.0 fad_c + pppg9_c --> 3.0 fadh2_c + ppp9_c,WP_025433380_1
PPS,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,WP_005238880_1
PPTGS_BS,uaagmda_c --> h_c + peptido_BS_c + udcpdp_c,
PPTT,ipdp_c + pendp_c --> hexdp_c + ppi_c,
PRAGSr,atp_c + gly_c + pram_c <=> adp_c + gar_c + h_c + pi_c,WP_025431855_1
PRAIS,atp_c + fpram_c --> adp_c + air_c + h_c + pi_c,WP_005244377_1
PRAIi,pran_c --> 2cpr5p_c,WP_005247511_1 or WP_025431958_1
PRAMPC,h2o_c + prbamp_c --> prfp_c,WP_005247504_1
PRASCSi,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,WP_005244419_1
PRATPP,h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c,WP_009473527_1
PRCOA1,hcholc3coa_c --> andrstndn_c + 4.0 h_c + ppcoa_c,WP_005244861_1
PREPHACPH,h2o_c + prephthACP_c --> ACP_c + h_c + prephth_c,WP_005241865_1
PREPTHS,arachACP_c + 13.0 h_c + 2.0 malcoa_c + 2.0 mmcoa__S_c + 10.0 nadph_c --> 2.0 co2_c + 4.0 coa_c + 5.0 h2o_c + 10.0 nadp_c + prephthACP_c,WP_005250321_1 or WP_025432546_1 or WP_025433174_1
PREPTTA,ACP_c + prephthcoa_c <=> coa_c + prephthACP_c,
PRFGS,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + 2.0 h_c + pi_c,WP_005244409_1 or ( WP_005244391_1 and WP_005244404_1 )
PRFGS_1,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + 2.0 h_c + pi_c,WP_005244409_1
PRMICI,prfp_c <=> prlp_c,WP_005247511_1
PROD2,fad_c + pro__L_c --> 1pyr5c_c + fadh2_c + h_c,WP_025432675_1
PROGLYabcpp,atp_c + h2o_c + progly_p --> adp_c + h_c + pi_c + progly_c,( WP_005237762_1 and WP_005237763_1 and WP_025431615_1 ) or ( WP_005237762_1 and WP_005237763_1 and WP_005248477_1 and WP_025433508_1 ) or ( WP_005237762_1 and WP_005237763_1 and WP_025431616_1 and WP_050983264_1 ) or ( WP_005237762_1 and WP_005237763_1 and WP_025433508_1 and WP_050983264_1 ) or ( WP_005237762_1 and WP_005237763_1 and WP_025431616_1 and WP_025433508_1 and WP_050983264_1 )
PROGLYtex,progly_e <=> progly_p,
PROHISGLUtr,atp_c + h2o_c + prohisglu_e --> adp_c + h_c + pi_c + prohisglu_c,WP_005252471_1 and WP_025432083_1
PROR,pro__L_c <=> h_c + pro__D_c,WP_025431993_1
PROabc,atp_c + h2o_c + pro__L_e --> adp_c + h_c + pi_c + pro__L_c,WP_005251655_1 or WP_025432117_1 or ( WP_005244054_1 and WP_005254252_1 ) or ( WP_005239314_1 and WP_005239327_1 and WP_025432197_1 and WP_025432198_1 )
PROabcpp,atp_c + h2o_c + pro__L_p --> adp_c + h_c + pi_c + pro__L_c,WP_025432387_1 or ( WP_005247765_1 and WP_005247768_1 ) or ( WP_005247765_1 and WP_005247766_1 and WP_005247768_1 ) or ( WP_005247450_1 and WP_005247455_1 and WP_005247457_1 and WP_025432851_1 and WP_025432852_1 )
PROt2r,h_e + pro__L_e --> h_c + pro__L_c,WP_005242920_1 or WP_005244437_1 or WP_005261289_1 or WP_025432629_1
PROt2rpp,h_p + pro__L_p --> h_c + pro__L_c,WP_005261289_1 or WP_025432629_1
PROtex,pro__L_e <=> pro__L_p,
PRPPS,atp_c + r5p_c <=> amp_c + h_c + prpp_c,WP_005238800_1
PSCVT,pep_c + skm5p_c <=> 3psme_c + pi_c,WP_025432295_1
PSD120,h_c + ps120_c --> co2_c + pe120_c,
PSD141,h_c + ps141_c --> co2_c + pe141_c,
PSD160,h_c + ps160_c --> co2_c + pe160_c,WP_005251765_1
PSD180,h_c + ps180_c --> co2_c + pe180_c,
PSD181,h_c + ps181_c --> co2_c + pe181_c,
PSERT,3php_c + glu__L_c --> akg_c + pser__L_c,WP_005244098_1
PSP_L,h2o_c + pser__L_c --> pi_c + ser__L_c,WP_005240300_1 and WP_005249075_1 and WP_025433136_1
PSSA120,cdpdddecg_c + ser__L_c --> cmp_c + h_c + ps120_c,
PSSA141,cdpdtdec7eg_c + ser__L_c --> cmp_c + h_c + ps141_c,
PSSA160,cdpdhdecg_c + ser__L_c --> cmp_c + h_c + ps160_c,WP_005251763_1
PSSA180,cdpdodecg_c + ser__L_c --> cmp_c + h_c + ps180_c,
PSSA181,cdpdodec11eg_c + ser__L_c --> cmp_c + h_c + ps181_c,
PSUDS,r5p_c + ura_c --> h2o_c + psd5p_c,
PTA2,pi_c + ppcoa_c --> coa_c + ppap_c,WP_043943826_1
PTAr,accoa_c + pi_c <=> actp_c + coa_c,WP_005249217_1 or WP_043943826_1
PTAtex,pta_e <=> pta_p,
PTPATi,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,WP_005240440_1
PTRCAT1,accoa_c + ptrc_c --> aprut_c + coa_c + h_c,WP_005240103_1
PTRCTA,akg_c + ptrc_c --> 4abutn_c + glu__L_c,WP_005238200_1 or WP_005240781_1 or WP_005244800_1
PTRCTA2,ptrc_c + pyr_c --> 4abutn_c + ala__L_c,WP_005238200_1 or WP_005240781_1
PTRCabc,atp_c + h2o_c + ptrc_e --> adp_c + h_c + pi_c + ptrc_c,WP_005248970_1 or WP_025431600_1 or WP_025431850_1 or WP_025433613_1 or WP_226955505_1
PTRCabcpp,atp_c + h2o_c + ptrc_p --> adp_c + h_c + pi_c + ptrc_c,WP_005242646_1 or WP_005248970_1 or WP_005250166_1 or WP_025431850_1 or WP_025433613_1
PTRCt2pp,h_p + ptrc_p --> h_c + ptrc_c,WP_005237775_1 or WP_005243566_1 or WP_005250142_1 or WP_025432052_1
PTRCtex,ptrc_e <=> ptrc_p,
PTSLAtexi,ptsla_e --> ptsla_p,
PUNP1,adn_c + pi_c <=> ade_c + r1p_c,WP_025433646_1
PUNP2,dad_2_c + pi_c <=> 2dr1p_c + ade_c,WP_025433646_1
PUNP3,gsn_c + pi_c <=> gua_c + r1p_c,WP_025433646_1
PUNP5,ins_c + pi_c <=> hxan_c + r1p_c,WP_025433646_1
PUNP6,din_c + pi_c <=> 2dr1p_c + hxan_c,WP_025433646_1
PUNP7,pi_c + xtsn_c <=> r1p_c + xan_c,WP_025433646_1
PXYLt5,h_p + p_xyl_c --> h_c + p_xyl_e,WP_009474664_1
PXYLt6,h_p + p_xyl_p --> h_c + p_xyl_e,WP_009474664_1
PYAM5PO,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c,WP_005238757_1 or WP_005242958_1 or WP_005244096_1 or WP_005251233_1
PYDXNO,o2_c + pydxn_c --> h2o2_c + pydx_c,WP_005238757_1 or WP_005244096_1 or WP_005252404_1
PYDXNtr,pydxn_e <=> pydxn_c,
PYDXO,2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c <-- 2.0 h2o2_c + pydam_c,WP_005238757_1 or WP_005244096_1
PYDXOR,h_c + nadph_c + pydx_c --> nadp_c + pydxn_c,WP_025431940_1
PYDXPP,h2o_c + pydx5p_c --> pi_c + pydx_c,WP_005562415_1
PYDXS,g3p_c + gln__L_c + ru5p__D_c <=> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c,WP_005240983_1 and WP_011598631_1
PYK,adp_c + h_c + pep_c --> atp_c + pyr_c,WP_005247478_1
PYOVD2tex,atp_c + h2o_c + pyovd_kt_p --> adp_c + h_c + pi_c + pyovd_kt_e,WP_005248932_1
PYOVDM1,fbac_kt_p --> pvdiq_p,WP_005252907_1
PYOVDM2,pvdiq_p --> pyovd_kt_p,WP_005244700_1
PYRDOX,dhpyr_c + o2_c --> h_c + nfmalm_c,WP_005250304_1
PYROX,h_c + nadh_c + o2_c + ura_c --> nad_c + uracp_c,WP_025433065_1 or ( WP_005244564_1 and WP_025433065_1 )
PYRZAM,h2o_c + malm_c --> male_c + nh4_c,WP_005250317_1
PYRt2rpp,h_p + pyr_p --> h_c + pyr_c,WP_005243991_1 or WP_025433374_1
PYRt4pp,na1_p + pyr_p --> na1_c + pyr_c,WP_005243991_1 or WP_025433374_1
PYRtex,pyr_e <=> pyr_p,
P_XYLtpp,p_xyl_p --> p_xyl_c,
P_Xylt1,p_xyl_e <=> p_xyl_p,
QMO2,2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c,
QUIDHy,nadp_c + quin_c <=> 3dhq_c + h_c + nadph_c,WP_025432953_1
QUIN2tpp,quin_p <=> quin_c,
QUINDH,nad_c + quin_c --> 3dhq_c + h_c + nadh_c,WP_005245725_1
QUINDHyi,nadp_c + quin_c --> 3dhq_c + h_c + nadph_c,WP_005245725_1
QUINtpp,h_p + quin_p --> h_c + quin_c,WP_037182371_1
QULNS,dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c,WP_005247541_1
R5PP,h2o_c + r5p_c --> pi_c + rib__D_c,WP_005243022_1 or WP_005246502_1 or WP_005248850_1 or WP_005562415_1
RAFFINt2,h_e + raffin_e --> h_c + raffin_c,
RAFGH,h2o_c + raffin_c --> gal_c + sucr_c,WP_025432068_1
RBFK,atp_c + ribflv_c --> adp_c + fmn_c + h_c,WP_025432373_1
RBFSa,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c,WP_005241766_1 or WP_005252720_1
RBFSb,2.0 dmlz_c --> 4r5au_c + ribflv_c,WP_005241761_1 or WP_005252720_1
RBK,atp_c + rib__D_c --> adp_c + h_c + r5p_c,WP_025432940_1
RBK_Dr_1,atp_c + rbl__D_c --> adp_c + h_c + ru5p__D_c,
RBP4E,ru5p__L_c <=> xu5p__D_c,
RECOAH10,R_3hnonacoa_c <=> h2o_c + nona2coa_c,WP_005250394_1 or WP_005250675_1
RECOAH11,R_3hpdecacoa_c <=> h2o_c + pdca2coa_c,WP_005250394_1
RECOAH12,R_3hpnonacoa_c <=> h2o_c + pnona2coa_c,WP_005250394_1 or WP_005250675_1
RECOAH13,R_3hpoctacoa_c <=> h2o_c + pocta2coa_c,WP_005250394_1 or WP_005250675_1
RECOAH14,R_3hphpcoa_c <=> h2o_c + php2coa_c,WP_005250394_1 or WP_005250675_1
RECOAH15,R_3hphxacoa_c <=> h2o_c + phxa2coa_c,WP_005250394_1 or WP_005250675_1
RECOAH16,R_3hpptcoa_c <=> h2o_c + ppt2coa_c,WP_005250394_1 or WP_005250675_1
RECOAH17,R_3hpbcoa_c <=> h2o_c + pb2coa_c,WP_005250394_1
RECOAH19,R_3h6athcoa_c <=> 6ath2coa_c + h2o_c,WP_005250394_1 or WP_005250675_1
RECOAH2,R_3hhcoa_c <=> h2o_c + hx2coa_c,WP_005250394_1 or WP_005250675_1
RECOAH20,R_3h4atbcoa_c <=> 4atb2coa_c + h2o_c,WP_005250394_1
RECOAH21,R_3hcmrs7ecoa_c <=> h2o_c + tde2coa_c,WP_005250394_1
RECOAH22,R_3hcddec5ecoa_c <=> dde2coa_c + h2o_c,WP_005250394_1
RECOAH23,R_3htd5coa_c <=> h2o_c + tded5_2_coa_c,WP_005250394_1
RECOAH24,R_3htd58coa_c <=> h2o_c + td58_2_coa_c,WP_005250394_1
RECOAH25,R_3hdd6coa_c <=> dd6_2_coa_c + h2o_c,WP_005250394_1
RECOAH26,R3hdec4coa_c <=> dec4_2_coa_c + h2o_c,WP_005250394_1
RECOAH3,R_3hocoa_c <=> h2o_c + oc2coa_c,WP_005250394_1 or WP_005250675_1
RECOAH4,R_3hdcoa_c <=> dc2coa_c + h2o_c,WP_005250394_1
RECOAH5,R_3hddcoa_c <=> dd2coa_c + h2o_c,WP_005250394_1
RECOAH6,R_3hmrscoa_c <=> h2o_c + td2coa_c,WP_005250394_1
