,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
LCYSTabc,0.106345647334754,0.440772701988968,0.518834329521596,0.236353967594715,0.189901620823246,0.187592861065988,0.0,0.3176025678991189,0.212267121349878,0.180780345634847,0.277445795678841,0.340810148345517,0.133862247565121,0.218474060309478,0.277275164792298,0.16924109581925895,0.0,0.303518030464146,0.19228970481602,0.4357168007779051,0.0,0.0,0.506275435051416,0.747925352197468
LDH_D,3.93478895138591,3.82003008390439,4.6695089656943605,2.83624761113658,4.27278646852304,2.0635214717258603,40.558598581820796,32.2895944030771,44.0454276800996,5.0015895625640985,4.7165785265403,4.22604583948441,0.870104609173287,1.3836690486267,0.277275164792298,17.5164534172933,27.326903594380497,23.067370315275106,4.48675977904046,4.35716800777905,2.08966134421572,4.81977337405712,10.1255087010283,6.30394225423581
LDH_L,538.8533950452011,378.77067524252,567.7777012731331,51.4069879518504,94.76090879079979,40.8014472818523,692.393218646797,535.372061955282,360.641839173442,304.253321703447,354.020835286202,358.0551418518,13.85474262299,14.7105867275049,7.48642944939206,138.185354736425,191.803927115274,121.71073021612301,399.321620334601,414.802394340566,349.495859820079,26.749742226017,46.83047774225589,34.5114126799689
LEUabc,0.7444195313432809,1.24885598896874,0.518834329521596,0.472707935189429,0.474754052058115,0.468982152664969,0.724260688961085,0.952807703697358,0.95520204607445,1.1449421890207,1.29474704650126,1.02243044503655,0.4015867426953629,0.43694812061895705,0.0,0.33848219163851795,0.9280835182997148,0.6829155685443281,0.9614485240800992,0.6535752011668571,0.69655378140524,0.481977337405712,0.168758478350472,0.10684647888535302
LEUabcpp,430.80621735309035,438.86268694701613,520.2178877336534,250.0624977152085,261.49453187360956,210.5729865465708,460.8712184089043,429.6104068448753,436.20893437399917,354.3897375595112,396.00763236559936,359.89551665286626,289.8117659784875,239.01062197856902,419.65596191314364,510.3465244429764,586.5487835654195,580.0229562169826,334.71227951641777,353.36632543088115,357.5062283062397,411.12666880707224,446.0286582802971,366.2697296189884
LEUt2r,22.226240292963684,21.450938163463118,25.941716476079794,9.45415870378859,11.109244818159901,5.440192970913645,9.6568091861478,10.58675226330398,12.417626598967866,16.51127156798265,24.970121611095685,21.743687464444037,3.5473495604757073,4.58795526649905,4.020489889488322,4.484889039210365,6.08410306440925,5.994481101666886,17.113783728625773,20.914406437339462,16.717290753725727,3.61483003054284,4.387720437112274,4.167012676528749
LEUTA,68.4865968835819,71.5521019562091,66.41079417876429,74.6878537599298,74.4414353627125,75.881312301192,71.21896774784,72.62512052626529,74.71802671515701,71.4684966409761,70.6561959662116,73.54683001296259,84.13242259467859,74.8637779993813,90.2530661398931,85.6359944845451,81.6713496103749,83.3156993624081,62.494154065206395,63.832511313963096,58.8587945287428,89.1658074200568,101.930120923685,96.80290987012951
LEUTAi,0.531728236673772,1.10193175497242,0.8647238825359929,0.590884918986787,0.0949508104116231,0.281389291598982,0.48284045930739,0.635205135798239,0.636801364049633,0.241040460846462,0.739855455143577,0.477134207683724,0.8031734853907271,0.509772807388783,0.6931879119807459,0.930826027005925,0.4124815636887621,0.455277045696219,1.0255450923521,0.6535752011668571,0.34827689070262,0.481977337405712,0.337516956700944,0.0
LIPOCT,38.816161277185394,38.2003008390439,35.4536791839757,60.6247926880443,52.98255220968571,80.00835524464371,83.7728196898322,84.2705480158997,69.1990815600601,40.4345373069941,35.6980257106776,36.3985238433012,58.4978021859579,86.9526760031724,69.18015361567839,66.7656123006977,67.85321722680139,50.8392701027444,26.920558674242802,35.94663606417721,30.1259510457766,75.9114306413997,67.9252875360649,100.649383110002
LIPOS,7.444195313432809,6.39120417884003,7.609570166316739,5.90884918986787,7.4061632121066,6.56575013730957,10.139649645455199,12.280632625432599,9.976554703444249,5.724710945103482,5.73387977736272,5.9982586108810985,6.35845675934325,7.93789085791105,6.51596637261901,18.6165205401185,19.5928742752162,20.1080695182497,6.409656827200661,5.22860160933486,3.4827689070262005,6.26570538627426,8.60668239587407,6.1970957753504505
