,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
THZPSN,14453.688641747973,11896.913008204163,11104.76563463208,13528.965408911634,13242.646165927712,12521.56514335615,12388.857991651817,12892.8600176543,12741.592683391747,15397.538825556934,13948.260088574465,12940.134154471723,12146.418331839355,10992.527413672204,10842.316509859971,15483.758153848095,14213.398389638038,13468.75628033833,11967.212409457912,11823.9741893922,11034.047504095832,16367.504563863,13843.814356342746,16228.526639682914
TKT1,1803.9303579738626,1584.2061239200912,1549.0432737780907,4391.295416779624,3864.996470980128,4296.038411363716,3541.9692201442977,3312.804678177722,3487.640132567863,1863.885453783969,1668.1281924111554,1748.596711848373,3644.052780473234,4324.9969276092315,4317.153382345461,4661.058562941284,4431.881948203916,4498.4837908672325,1627.8480518263475,1458.3177696797688,1927.315620463314,2545.7507448483493,2301.8199587567233,2989.893195228919
TKT2,1803.9303579738626,1584.2061239200912,1549.0432737780907,4391.295416779624,3864.996470980128,4296.038411363716,3541.9692201442977,3312.804678177722,3487.640132567863,1863.885453783969,1668.1281924111554,1748.596711848373,3644.052780473234,4324.9969276092315,4317.153382345461,4661.058562941284,4431.881948203916,4498.4837908672325,1627.8480518263475,1458.3177696797688,1927.315620463314,2545.7507448483493,2301.8199587567233,2989.893195228919
TMDPP,641.0828738539401,657.9903742207799,616.657354211022,1121.42088688487,1361.46103205747,1140.6753431875,1331.3947813892999,1319.68609331237,1401.7164768914301,900.715626605719,754.482861933987,769.952888686387,999.7916378140848,966.649969731427,829.157092364975,1589.0886693956604,1455.06920600323,1471.83751938559,650.285987008127,592.441593932405,657.3404650549289,1762.0902995395002,1696.0778643470599,1683.4023188903602
TMDS,323.5749521029352,298.95953308545006,284.4845927426845,573.0707938990803,563.3631856789535,676.0218218421617,527.9668960681704,571.7633112139005,537.8796847970697,335.76294986701737,379.8794829317971,339.6088498919754,640.8594393881499,675.8240476059268,738.2002730117426,486.7841240427201,525.5506027073665,498.5488852428645,340.07458364623693,308.649641594155,319.5635006438321,348.2935312483795,340.9806491710031,361.67243544053525
TMPK,1064.7638267637203,898.9741100022749,1059.0062296317285,3956.4358143503227,3168.917919444119,3669.960154195909,2189.9148645610185,2063.582373219182,4316.156495078923,832.531682861393,696.4457187082952,763.4718037647847,4493.016526395577,4167.81244112712,4036.3736356463455,9967.407815935892,6071.286067097045,16344.611354981007,807.524772995097,714.6585661072721,620.9135375203987,8074.910553416385,9191.233686830625,9212.487765659485
TMPPP,74.8267076738037,49.593754320249786,42.7549098919642,85.3987849731963,128.201237766685,125.750761055072,101.002362726085,106.70230807865101,134.21763241653,65.8920464756092,52.76103929608301,56.38543881794249,157.191937963131,172.418225260118,154.23112846852501,152.06975114723,100.992000147125,148.626729898741,46.318402073681,26.929163360563894,43.05000526808099,96.23900205547329,88.25381507955379,86.35437363046499
TPI,959.601967330267,960.4424252161059,1129.71627291459,2446.22572219274,2329.29009463414,2348.23938906387,2176.14181509837,2128.0064082855397,2267.57157924768,758.045021628096,723.705589011272,820.5053510748869,2569.80180362398,1641.7815746656302,2823.61604426991,2744.4969373714302,2351.25064420199,2186.11160967566,756.940202309367,600.72749035104,688.8000842892958,3732.69843686586,2913.17820503509,3876.8034091041695
TRDR,1757.4164586090649,1762.3245373238083,1886.1492940801131,3965.4251601369797,3268.2287374323923,3569.1811754780133,2681.1536287288,2311.212258005483,2604.629392985438,1999.1073926382649,1967.10741508896,1755.7259052621403,5493.444568816793,5170.469429788364,7172.406581173016,4109.101688406888,4111.256860358187,4253.899026616388,1819.825639368573,1762.8244630646045,1862.740612561197,3146.098805289644,2796.041323202232,3158.538207260183
TRE6PP,4022.4411233296105,3769.8238319209604,3652.25595654048,4890.204107938818,4617.050210836814,5584.7607498359075,6930.139387955691,8000.659854802969,8675.706660788761,3253.921147260743,3062.778331137612,3708.476792140997,5842.830698135661,6682.071782169246,6022.923298911876,12112.476369155538,9857.99582018631,10800.6900319619,3289.21599989022,2790.2756189753463,3026.746524232768,23163.81123282813,17264.05084438038,24003.46806784697
